split,repetition,method,brier_score,ece
iid_test,27,platt,0.15602072129455405,0.020019139036075165
iid_test,27,isotonic,0.15714146519544905,0.026201953640236662
iid_test,27,oracle,0.15182214361535853,0.028016337444476395
iid_test,28,raw,0.15996982916454552,0.03811175249788772
iid_test,28,platt,0.15904737417021914,0.02016536492347526
iid_test,28,isotonic,0.16006499294464827,0.034750852145448326
iid_test,28,oracle,0.152785778404092,0.02920451972821957
iid_test,29,raw,0.15519457024334288,0.017709945219854306
iid_test,29,platt,0.15506886155648428,0.014351244728904854
iid_test,29,isotonic,0.15706066186660142,0.021699756978608473
iid_test,29,oracle,0.14993037072279103,0.03157248191181954
iid_test,30,raw,0.1586861798088254,0.03659882266664596
iid_test,30,platt,0.15763264451945286,0.029515852508112707
iid_test,30,isotonic,0.15888329262755466,0.03582067663369346
iid_test,30,oracle,0.15482083038621178,0.03405028333343776
iid_test,31,raw,0.16204366748767443,0.03280481828727804
iid_test,31,platt,0.16133615890296024,0.021357652249631882
iid_test,31,isotonic,0.1617650090032177,0.021348226141197416
iid_test,31,oracle,0.15081092522775708,0.024155641745189547
iid_test,32,raw,0.15110583235284314,0.032288313176634116
iid_test,32,platt,0.15063739675207002,0.02868509997913664
iid_test,32,isotonic,0.15151709986651662,0.03315916463101077
iid_test,32,oracle,0.1423887391004539,0.022304479820495795
iid_test,33,raw,0.16640010535822194,0.04412031806979002
iid_test,33,platt,0.16474685654720758,0.02172560192080455
iid_test,33,isotonic,0.16581466783035134,0.0194339380688531
iid_test,33,oracle,0.15431135629359938,0.015178965453351642
iid_test,34,raw,0.15132441639692273,0.02983130691656989
iid_test,34,platt,0.15137543544690668,0.03031149319785131
iid_test,34,isotonic,0.1528576006589864,0.02879672312704771
iid_test,34,oracle,0.14535586374022638,0.03101013454192461
iid_test,35,raw,0.1532467376007752,0.02165397672076285
iid_test,35,platt,0.15318079245931104,0.024242849580373958
iid_test,35,isotonic,0.1546104658035715,0.022828690729632044
iid_test,35,oracle,0.1479353858515702,0.019261470337160067
iid_test,36,raw,0.1656970168384059,0.02827626581216596
iid_test,36,platt,0.16468343485435377,0.01477937418741712
iid_test,36,isotonic,0.1663688782171076,0.02581256085022873
iid_test,36,oracle,0.15664876484006623,0.022838414781858992
iid_test,37,raw,0.14705293055977625,0.02671150491049012
iid_test,37,platt,0.1474575050467539,0.03378627629007355
iid_test,37,isotonic,0.14883517939305455,0.03530319479774862
iid_test,37,oracle,0.1421180926076024,0.02996164260515036
iid_test,38,raw,0.15426373093249476,0.02925110694343479
iid_test,38,platt,0.15414288877435206,0.026738108600217962
iid_test,38,isotonic,0.15474864044752543,0.026854985761239774
iid_test,38,oracle,0.1459169055452777,0.021929949927532603
iid_test,39,raw,0.150748835973347,0.026029069959269024
iid_test,39,platt,0.1509907704776699,0.030386321538516777
iid_test,39,isotonic,0.1513924558241427,0.030769210117374476
iid_test,39,oracle,0.14454811500440853,0.027874783598173247
iid_test,40,raw,0.1574415195514812,0.03817820695839531
iid_test,40,platt,0.156634020480248,0.029711446023348045
iid_test,40,isotonic,0.1573567631171116,0.032473155658948566
iid_test,40,oracle,0.15095662855393,0.02543008299048475
iid_test,41,raw,0.15345945169523326,0.022722788536024188
iid_test,41,platt,0.15369535622940067,0.03061674778646877
iid_test,41,isotonic,0.15468502674751936,0.033682205352754645
iid_test,41,oracle,0.14847245700353498,0.01754524190001858
iid_test,42,raw,0.16324334416615688,0.046073373976445994
iid_test,42,platt,0.1616075746645412,0.03209023115032033
iid_test,42,isotonic,0.16188203002910875,0.027782029709024207
iid_test,42,oracle,0.15579473508839445,0.028707169084406375
iid_test,43,raw,0.16155176928214734,0.040805701360263395
